"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
"1" 0 0 0 0 0 0 2 1 1 0 2 0 2 0 2 2 0 0 0 0 0 0 2 0 2 2 2 0 0 0 0 0 1 1 1 1 1 2 2 1 2 2 0 1 1 1 1 1 0 1 2 2 2 0 1 1
"2" 2 1 2 2 0 1 0 2 2 2 0 2 2 0 2 2 0 0 0 0 0 0 2 0 2 2 2 0 0 0 0 0 0 1 1 0 0 1 0 0 1 2 0 0 1 0 1 2 0 2 2 2 2 0 0 1
"3" 2 0 2 1 1 1 0 1 2 2 1 1 1 1 2 1 1 1 0 0 2 0 2 1 1 2 1 1 1 2 1 0 0 1 1 1 1 2 1 1 1 2 0 1 1 1 1 1 0 1 2 2 2 0 1 1
"4" 1 0 1 1 0 0 2 0 0 0 2 0 2 0 2 2 0 0 0 0 0 0 2 0 2 2 2 1 0 1 1 1 1 1 1 1 0 1 0 0 1 1 0 0 1 0 1 1 0 1 2 2 2 0 0 1
"5" 2 0 2 1 0 1 0 2 2 2 0 2 2 0 2 2 0 0 0 0 0 0 2 0 2 2 2 0 0 0 0 0 0 2 2 0 0 0 0 0 2 1 0 0 0 0 0 2 0 1 2 2 2 0 1 1
"6" 2 0 2 1 0 1 0 2 2 2 0 1 1 0 2 1 1 0 0 0 0 0 2 0 2 2 2 1 0 1 1 1 1 2 2 0 1 1 1 1 2 1 0 1 0 1 0 1 0 0 2 2 2 0 2 0
"7" 2 0 2 0 2 0 0 2 2 1 2 0 1 0 1 1 0 1 1 1 1 1 1 1 2 1 2 1 0 1 0 0 2 2 2 0 1 2 1 2 2 2 0 1 0 0 0 2 1 0 2 2 2 0 1 1
"8" 2 0 2 1 1 0 1 1 1 1 1 1 2 1 2 2 0 1 0 0 1 0 2 1 2 2 2 0 0 0 0 0 0 1 1 1 0 1 0 0 0 2 0 0 1 0 2 2 0 2 2 2 2 0 1 1
"9" 2 0 1 1 0 1 1 0 1 1 2 0 1 0 2 1 1 0 0 0 0 0 2 0 2 2 2 1 0 1 1 1 1 2 2 0 1 1 1 1 2 1 0 1 0 1 1 0 0 0 2 2 2 0 2 0
